epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.662,2.2356,6.15345,2.03293,0.00049,0.25,0.00037,0.00011,2.82565,6.37503,2.87071,0,0,0
2,52.5324,1.90277,5.65684,1.86838,0.00047,0.25,0.01249,0.0052,1.99119,4.86827,2.22166,1.6505e-05,1.6505e-05,1.6505e-05
3,77.9009,2.46815,6.48751,2.30734,0.65618,0.25,0.13846,0.07145,1.6952,4.62805,1.64443,3.26799e-05,3.26799e-05,3.26799e-05
4,102.202,1.37866,3.85522,1.33257,0.22157,0.16667,0.20403,0.09838,1.80739,4.21965,1.43859,4.85247e-05,4.85247e-05,4.85247e-05
5,126.314,1.68307,3.70043,1.305,0.30948,0.41667,0.27675,0.10541,1.63618,3.84431,1.2068,6.40395e-05,6.40395e-05,6.40395e-05
6,149.957,1.70511,3.8647,1.32613,0.22208,0.66667,0.27343,0.09312,1.78731,5.01368,1.15572,7.92242e-05,7.92242e-05,7.92242e-05
7,174.027,1.18027,2.9572,0.98997,0.58161,0.25,0.35246,0.13243,1.74757,7.15215,1.13365,9.40788e-05,9.40788e-05,9.40788e-05
8,197.778,1.11352,1.78298,0.90893,0.57862,0.25,0.05189,0.02367,1.73435,6.63386,1.14073,0.000108603,0.000108603,0.000108603
9,220.938,1.13613,2.25372,1.00621,0.57862,0.25,0.05189,0.02367,1.73435,6.63386,1.14073,0.000122798,0.000122798,0.000122798
10,241.175,1.0904,1.98008,1.00085,0.57248,0.5,0.07654,0.04303,1.69631,5.42362,1.05686,0.000136662,0.000136662,0.000136662
11,264.759,0.98339,1.8719,0.9633,0.57248,0.5,0.07654,0.04303,1.69631,5.42362,1.05686,0.000150197,0.000150197,0.000150197
12,284.196,1.25747,2.18704,1.02505,0.7569,0.25,0.31436,0.24909,1.81868,4.31686,1.13462,0.000163401,0.000163401,0.000163401
13,307.637,2.22505,2.77327,1.28808,0.7569,0.25,0.31436,0.24909,1.81868,4.31686,1.13462,0.000176275,0.000176275,0.000176275
14,326.612,1.20749,2.19041,1.04859,0.59562,0.5,0.0995,0.05093,1.77353,4.69389,1.13794,0.000188819,0.000188819,0.000188819
15,349.21,1.49177,1.57823,1.09719,0.59562,0.5,0.0995,0.05093,1.77353,4.69389,1.13794,0.000201034,0.000201034,0.000201034
16,371.231,1.04099,1.67549,1.0203,0.58521,0.25,0.09231,0.07597,1.34173,4.07792,1.19009,0.000212918,0.000212918,0.000212918
17,394.611,1.06277,1.45831,0.95918,0.58521,0.25,0.09231,0.07597,1.34173,4.07792,1.19009,0.000224472,0.000224472,0.000224472
18,416.88,1.35819,2.38874,1.08801,0.59619,0.5,0.18897,0.13879,1.36535,4.04669,1.27338,0.000235695,0.000235695,0.000235695
19,439.356,1.15481,1.69371,0.95688,0.59619,0.5,0.18897,0.13879,1.36535,4.04669,1.27338,0.000246589,0.000246589,0.000246589
20,459.609,1.21826,1.94832,1.03927,0.74548,0.5,0.63638,0.47127,1.65481,2.93795,1.40622,0.000257153,0.000257153,0.000257153
21,482.731,1.30078,1.56758,0.98102,0.74548,0.5,0.63638,0.47127,1.65481,2.93795,1.40622,0.000267387,0.000267387,0.000267387
22,503.525,1.38393,1.53114,0.98644,0.96107,0.5,0.79716,0.55594,1.65453,2.82243,1.47728,0.00027729,0.00027729,0.00027729
23,526.407,1.54132,1.78085,1.2885,0.96107,0.5,0.79716,0.55594,1.65453,2.82243,1.47728,0.000286864,0.000286864,0.000286864
24,547.416,1.11277,1.33422,1.07145,0.96107,0.5,0.79716,0.55594,1.65453,2.82243,1.47728,0.000296108,0.000296108,0.000296108
25,567.51,1.40957,1.66248,1.20081,0.97019,0.5,0.7889,0.52729,1.53025,2.45293,1.4113,0.000305021,0.000305021,0.000305021
26,590.235,1.43319,1.52541,1.10053,0.97019,0.5,0.7889,0.52729,1.53025,2.45293,1.4113,0.000313604,0.000313604,0.000313604
27,610.789,1.27207,1.28072,0.97858,0.97019,0.5,0.7889,0.52729,1.53025,2.45293,1.4113,0.000321858,0.000321858,0.000321858
28,632.014,0.95661,1.52747,0.95398,0.37679,0.63338,0.48877,0.3089,1.33301,3.25744,1.32185,0.000329781,0.000329781,0.000329781
29,655.16,0.99742,1.31072,1.0055,0.37679,0.63338,0.48877,0.3089,1.33301,3.25744,1.32185,0.000337374,0.000337374,0.000337374
30,676.468,1.02951,1.62758,1.02406,0.37679,0.63338,0.48877,0.3089,1.33301,3.25744,1.32185,0.000344637,0.000344637,0.000344637
31,698.149,1.11424,1.51771,0.95731,0.56038,0.65003,0.45917,0.27786,1.34785,3.5275,1.38509,0.00035157,0.00035157,0.00035157
