epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5255,2.2356,6.15345,2.03293,0.00049,0.25,0.00037,0.00011,2.82565,6.37503,2.87071,0,0,0
2,60.2505,1.90277,5.65684,1.86838,0.00047,0.25,0.0125,0.00625,2.00514,4.89664,2.23674,1.58448e-05,1.58448e-05,1.58448e-05
3,89.4864,2.4763,6.50278,2.31162,0.62667,0.25,0.09721,0.05082,1.73312,4.58251,1.67605,3.00393e-05,3.00393e-05,3.00393e-05
4,118.291,1.41164,3.89846,1.3523,0.22934,0.14601,0.16773,0.07835,1.89193,4.46222,1.5045,4.25835e-05,4.25835e-05,4.25835e-05
5,148.117,1.74463,3.80293,1.35381,0.263,0.25,0.26461,0.10309,1.56026,3.8289,1.25641,5.34774e-05,5.34774e-05,5.34774e-05
6,178.242,1.66095,3.82322,1.29056,0.32218,0.73645,0.28459,0.10027,1.76371,4.07307,1.19389,6.27209e-05,6.27209e-05,6.27209e-05
7,207.862,1.12079,2.84605,1.03207,0.60704,0.5,0.46505,0.1953,1.76864,5.69914,1.17787,7.03141e-05,7.03141e-05,7.03141e-05
8,237.263,1.16775,1.94784,0.9337,0.63979,0.5,0.19518,0.12841,1.56302,5.93648,1.13766,7.62569e-05,7.62569e-05,7.62569e-05
9,265.885,1.114,2.19598,1.01479,0.63979,0.5,0.19518,0.12841,1.56302,5.93648,1.13766,8.05494e-05,8.05494e-05,8.05494e-05
10,291.369,0.99678,2.18675,0.97377,0.5643,0.5,0.07696,0.05445,1.56322,5.80168,1.16743,8.31916e-05,8.31916e-05,8.31916e-05
11,319.678,1.27782,2.59297,1.03588,0.5643,0.5,0.07696,0.05445,1.56322,5.80168,1.16743,8.41835e-05,8.41835e-05,8.41835e-05
12,344.316,1.20389,2.91431,1.09226,0.58518,0.5,0.0995,0.06965,1.60819,4.42358,1.19882,8.3525e-05,8.3525e-05,8.3525e-05
13,373.811,1.06354,2.37893,0.92374,0.58518,0.5,0.0995,0.06965,1.60819,4.42358,1.19882,8.12162e-05,8.12162e-05,8.12162e-05
14,396.966,0.89799,2.03115,0.97804,0.61551,0.5,0.12437,0.0995,1.57891,3.76566,1.17764,7.72571e-05,7.72571e-05,7.72571e-05
15,424.578,1.11748,1.89006,1.01211,0.61551,0.5,0.12437,0.0995,1.57891,3.76566,1.17764,7.16477e-05,7.16477e-05,7.16477e-05
16,451.746,1.00035,1.86439,0.91063,0.68605,0.5,0.24875,0.2052,1.59739,3.72576,1.18058,6.43879e-05,6.43879e-05,6.43879e-05
17,480.011,0.9054,1.9834,0.95391,0.68605,0.5,0.24875,0.2052,1.59739,3.72576,1.18058,5.54778e-05,5.54778e-05,5.54778e-05
18,507.223,1.01336,1.73006,1.04687,0.73877,0.5,0.33167,0.25694,1.54724,3.68117,1.17625,4.49173e-05,4.49173e-05,4.49173e-05
19,535.188,0.98431,2.01607,0.90004,0.73877,0.5,0.33167,0.25694,1.54724,3.68117,1.17625,3.27065e-05,3.27065e-05,3.27065e-05
20,559.956,0.8689,1.51046,0.86121,0.77669,0.5,0.33167,0.25694,1.53463,3.67384,1.18584,1.88454e-05,1.88454e-05,1.88454e-05
